val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,train_dataset
0.05272,0.79398,0.924681,2.496386,0.466608,1.049775,12.005356,eth,apollo
0.020565,0.176108,0.594443,1.046622,0.259381,0.484726,9.854848,eth,argoverse
0.005422,0.034212,0.344944,0.596713,0.183845,0.29138,10.761005,eth,av2
0.003739,0.023182,0.29624,0.468789,0.15133,0.237862,2.373491,eth,eth
0.451299,0.698074,1.823841,2.751887,0.979933,1.478775,53.190674,eth,exid
0.176295,0.470742,1.32658,2.070509,0.685203,1.079619,31.343384,eth,highd
0.003178,0.020378,0.289735,0.462804,0.147662,0.233288,2.991768,eth,hotel
0.132548,0.163956,0.932217,1.199833,0.459037,0.686043,12.927587,eth,i80
0.02823,0.115349,0.648751,0.943462,0.345492,0.510126,15.829796,eth,ind
0.044494,0.928585,0.833856,3.155457,0.359385,1.197396,16.157888,eth,interact
0.012526,0.067489,0.443309,0.712985,0.216136,0.358262,5.554216,eth,lyft
0.047299,0.220228,0.747522,1.221545,0.400534,0.618852,19.997177,eth,nuscenes
0.007291,0.05459,0.383716,0.642187,0.202615,0.318414,6.039313,eth,opendd
0.011404,0.06562,0.499232,0.814275,0.276965,0.426355,12.490088,eth,round
0.004487,0.028043,0.410655,0.587515,0.222201,0.325885,6.701399,eth,sind
0.035708,0.164517,0.795984,1.165838,0.400042,0.62022,18.394547,eth,unid
0.004861,0.020565,0.322158,0.502516,0.164982,0.257539,2.948168,eth,univ
0.080389,0.183212,0.901172,1.338585,0.441993,0.687279,19.805685,eth,us101
0.024678,0.93625,0.769716,3.295611,0.381117,1.302039,15.175905,eth,vod
0.023182,0.068985,0.564825,0.805599,0.349799,0.472296,6.58357,eth,waymo
0.004861,0.021873,0.293421,0.464198,0.149236,0.235783,2.231316,eth,zara1
0.004113,0.019256,0.29005,0.462612,0.150941,0.235126,2.404448,eth,zara2
0.136659,0.384005,1.157777,2.651377,0.655673,1.13136,30.165617,exid,a43
0.446558,0.600313,15.178723,23.644699,7.756259,11.837163,65.04171,exid,ad4che
0.954088,0.973709,31.42787,61.079044,15.299415,27.690176,167.955231,exid,apollo
0.78129,0.878423,6.709562,23.280642,2.852356,8.844466,56.460934,exid,argoverse
0.370725,0.588835,4.999407,8.626354,2.504471,4.041609,13.192286,exid,av2
0.987581,0.989022,62.581894,97.991203,32.18565,49.773701,542.046082,exid,eth
0.001482,0.011588,0.207146,0.380361,0.124515,0.187054,-2.594615,exid,exid
0.092117,0.304324,0.936593,2.342359,0.468335,0.913226,10.405749,exid,highd
0.986331,0.987389,58.340389,90.915886,29.913664,46.146881,271.250458,exid,hotel
